competition,date,match_name,stage,round,round_label,team1,score1,score2,team2,winner,location
Open SZN 2 by Kohai Izakaya,2024-11-17,,1,1,,Bombshells,19,13,Eagles,Bombshells,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-17,,1,1,,Eagles Young Guns,0,62,Glorius,Glorius,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-17,,1,1,,Cygnus,53,12,Riptide,Cygnus,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-17,,1,1,,ISO : Istri Sudah Ok,0,37,Tropics,Tropics,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-23,,1,1,,Aozora,20,6,Hammerhead,Aozora,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-23,,1,1,,Jokers,18,32,Tungsten,Tungsten,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-23,,1,1,,Boars,33,6,The New Team,Boars,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-23,,1,1,,MF,0,49,Spectres,Spectres,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-23,,1,1,,Bombshells,47,6,Eagles Young Guns,Bombshells,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-23,,1,1,,Eagles,19,33,Glorius,Glorius,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-23,,1,1,,Cygnus,58,26,Tropics,Cygnus,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-23,,1,1,,ISO : Istri Sudah Ok,7,36,Riptide,Riptide,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-24,Seed 3 Semifinal: #9 vs #12,2,,Seed 3 Semifinal: #9 vs #12,Aozora,43,14,MF,Aozora,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-24,Seed 4 Semifinal: #13 vs #16,2,,Seed 4 Semifinal: #13 vs #16,The New Team,25,0,ISO : Istri Sudah Ok,The New Team,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-24,,2,1,Quarterfinal,Cygnus,45,8,Tropics,Cygnus,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-24,,2,1,Quarterfinal,Bombshells,14,54,Spectres,Spectres,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-30,Consolation Semifinal 1,2,,Consolation Semifinal 1,Jokers,26,21,Tropics,Jokers,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-30,Consolation Semifinal 2,2,,Consolation Semifinal 2,Boars,19,12,Bombshells,Boars,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-30,Seed 3 - 3rd place (11th),2,,11th Place,Riptide,32,19,MF,Riptide,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-30,Seed 3 Semifinal: #10 vs #11,2,,Seed 3 Semifinal: #10 vs #11,Eagles,54,20,Riptide,Eagles,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-30,Seed 4 - 3rd Place (15th),2,,15th Place,Hammerhead,24,25,ISO : Istri Sudah Ok,ISO : Istri Sudah Ok,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-30,Seed 4 Final (13th),2,,13th Place,The New Team,6,18,Eagles Young Guns,Eagles Young Guns,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-30,Seed 4 Semifinal: #14 vs #15,2,,Seed 4 Semifinal: #14 vs #15,Hammerhead,7,32,Eagles Young Guns,Eagles Young Guns,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-30,,2,1,Quarterfinal,Jokers,12,25,Tungsten,Tungsten,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-30,,2,2,Semifinal,Cygnus,39,0,Tungsten,Cygnus,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-30,,2,2,Semifinal,Glorius,14,33,Spectres,Spectres,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-11-30,,2,1,Quarterfinal,Glorius,38,28,Boars,Glorius,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-12-01,5th Place,2,,5th Place,Jokers,18,14,Boars,Jokers,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-12-01,7th Place,2,,7th Place,Tropics,8,21,Bombshells,Bombshells,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-12-01,Seed 3 Final (9th),2,,9th Place,Aozora,24,26,Eagles,Eagles,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-12-01,,2,3,Final,Cygnus,33,27,Spectres,Cygnus,Al-Izhar Pondok Labu
Open SZN 2 by Kohai Izakaya,2024-12-01,,2,3,3rd Place,Tungsten,32,27,Glorius,Tungsten,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-02,,1,1,,Aozora,27,32,Eagles,Eagles,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-02,,1,1,,SMA AIPL,0,71,Tungsten,Tungsten,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-02,,1,1,,Boars,40,38,Fenrir,Boars,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-02,,1,1,,Oozma Kappa,0,67,TAFF Sports Team,TAFF Sports Team,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-02,,1,1,,Cygnus,50,12,Eagles Young Guns,Cygnus,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-02,,1,1,,Tropics,7,13,UPH Bulldogs,UPH Bulldogs,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-02,,1,1,,Rack City,9,55,Toro Rosso,Toro Rosso,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-02,,1,1,,Riptide,13,45,Spectres,Spectres,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-08,,1,1,,Aozora,0,27,Tungsten,Tungsten,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-08,,1,1,,Eagles,32,0,SMA AIPL,Eagles,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-08,,1,1,,Boars,48,0,Oozma Kappa,Boars,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-08,,1,1,,Fenrir,0,67,TAFF Sports Team,TAFF Sports Team,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-08,,1,1,,Cygnus,54,0,UPH Bulldogs,Cygnus,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-08,,1,1,,Eagles Young Guns,20,27,Tropics,Tropics,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-08,,1,1,,Rack City,0,70,Spectres,Spectres,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-08,,1,1,,Riptide,13,27,Toro Rosso,Toro Rosso,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-15,,1,1,,Aozora,39,6,SMA AIPL,Aozora,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-15,,1,1,,Eagles,8,34,Tungsten,Tungsten,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-15,,1,1,,Boars,19,21,TAFF Sports Team,TAFF Sports Team,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-15,,1,1,,Fenrir,44,12,Oozma Kappa,Fenrir,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-15,,1,1,,Cygnus,51,6,Tropics,Cygnus,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-15,,1,1,,Eagles Young Guns,18,19,UPH Bulldogs,UPH Bulldogs,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-15,,1,1,,Rack City,7,42,Riptide,Riptide,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-15,,1,1,,Spectres,33,32,Toro Rosso,Spectres,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-22,3rd seed first round A,2,,,Aozora,20,46,Tropics,Tropics,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-22,3rd seed first round B,2,,,Riptide,13,12,Fenrir,Riptide,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-22,4th seed first round A,2,,,Eagles Young Guns,32,12,Rack City,Eagles Young Guns,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-22,4th seed first round B,2,,,SMA AIPL,6,20,Oozma Kappa,Oozma Kappa,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-22,,2,1,Quarterfinal,Cygnus,29,12,UPH Bulldogs,Cygnus,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-22,,2,1,Quarterfinal,Toro Rosso,19,12,Spectres,Toro Rosso,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-22,,2,1,Quarterfinal,Tungsten,14,20,Boars,Boars,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-22,,2,1,Quarterfinal,Eagles,6,39,TAFF Sports Team,TAFF Sports Team,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-29,11th place,2,,11th Place,Aozora,0,12,Fenrir,Fenrir,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-29,13th place,2,,13th Place,Eagles Young Guns,0,18,Oozma Kappa,Oozma Kappa,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-29,15th place,2,,15th Place,Rack City,33,12,SMA AIPL,Rack City,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-29,9th place,2,,9th Place,Tropics,25,14,Riptide,Tropics,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-29,,2,2,Semifinal,Cygnus,39,12,Toro Rosso,Cygnus,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-29,,2,2,Semifinal,Boars,6,32,TAFF Sports Team,TAFF Sports Team,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-11-29,,2,,,Tungsten,28,30,Eagles,Eagles,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-12-06,5th Place,2,,5th Place,Spectres,25,0,Eagles,Spectres,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-12-06,7th Place,2,,7th Place,Tungsten,20,6,UPH Bulldogs,Tungsten,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-12-06,,2,3,Final,Cygnus,19,7,TAFF Sports Team,Cygnus,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-12-06,,2,3,3rd Place,Toro Rosso,25,15,Boars,Toro Rosso,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Men),2025-12-06,,2,,,Spectres,42,7,UPH Bulldogs,Spectres,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-11,,1,1,,Dracarys,14,6,Gorgons,Dracarys,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-11,,1,1,,Orcas,13,27,Warwolves,Warwolves,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-11,,1,1,,Orion,0,27,Warwolves,Warwolves,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-11,,1,1,,Panthers,41,0,Thunderbirds,Panthers,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-12,,1,1,,Dracarys,20,0,Thunderbirds,Dracarys,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-12,,1,1,,Gorgons,13,0,Panthers,Gorgons,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-12,,1,1,,Orion,14,34,Warwolves,Warwolves,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-15,,1,1,,Dracarys,26,6,Panthers,Dracarys,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-15,,1,1,,Orcas,12,6,Orion,Orcas,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-15,,1,1,,Gorgons,34,0,Thunderbirds,Gorgons,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-15,,1,1,,Orcas,0,20,Warwolves,Warwolves,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-22,,1,,,Orion,19,13,Gorgons,Orion,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-22,,1,,,Panthers,7,12,Orcas,Orcas,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-22,,1,,Placement Round Robin 1,Thunderbirds,0,19,Gorgons,Gorgons,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-22,,1,,Placement Round Robin 2,Thunderbirds,13,12,Panthers,Thunderbirds,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-29,,1,,Placement Round Robin 3,Gorgons,26,0,Panthers,Gorgons,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-12-06,,2,2,Final,Orion,6,31,Dracarys,Dracarys,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-12-06,,2,2,3rd Place,Warwolves,28,6,Orcas,Warwolves,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-29,,2,1,Semifinal,Warwolves,19,21,Orion,Orion,Al-Izhar Pondok Labu
Open SZN 3 by LLTTFOC (Women),2025-11-29,,2,1,Semifinal,Orcas,12,20,Dracarys,Dracarys,Al-Izhar Pondok Labu
WFF Batavia Minor League 2024,2024-02-03,,1,1,,HONEY BADGER BLITZ,19,12,LADY WHITE,HONEY BADGER BLITZ,Hockey Field A
WFF Batavia Minor League 2024,2024-02-03,,1,1,,FRENCH 75,26,6,PINK LEMONADE,FRENCH 75,Hockey Field A
WFF Batavia Minor League 2024,2024-02-03,,1,1,,BULLRED,31,12,PINA COLADA,BULLRED,Hockey Field A
WFF Batavia Minor League 2024,2024-02-04,,1,1,,HONEY BADGER BLITZ,7,6,PINK LEMONADE,HONEY BADGER BLITZ,Hockey Field A
WFF Batavia Minor League 2024,2024-02-04,,1,1,,LADY WHITE,13,0,PINA COLADA,LADY WHITE,Hockey Field A
WFF Batavia Minor League 2024,2024-02-04,,1,1,,BULLRED,38,12,FRENCH 75,BULLRED,Hockey Field A
WFF Batavia Minor League 2024,2024-02-08,,1,1,,BULLRED,0,7,HONEY BADGER BLITZ,HONEY BADGER BLITZ,Hockey Field A
WFF Batavia Minor League 2024,2024-02-08,,1,1,,LADY WHITE,19,0,PINK LEMONADE,LADY WHITE,Hockey Field A
WFF Batavia Minor League 2024,2024-02-08,,1,1,,FRENCH 75,6,7,PINA COLADA,PINA COLADA,Hockey Field A
WFF Batavia Minor League 2024,2024-02-11,,1,1,,BULLRED,38,12,PINK LEMONADE,BULLRED,Hockey Field A
WFF Batavia Minor League 2024,2024-02-11,,1,1,,HONEY BADGER BLITZ,19,13,PINA COLADA,HONEY BADGER BLITZ,Hockey Field A
WFF Batavia Minor League 2024,2024-02-11,,1,1,,FRENCH 75,13,13,LADY WHITE,Draw,Hockey Field A
WFF Batavia Minor League 2024,2024-02-17,,1,1,,BULLRED,14,6,LADY WHITE,BULLRED,Hockey Field A
WFF Batavia Minor League 2024,2024-02-17,,1,1,,FRENCH 75,7,13,HONEY BADGER BLITZ,HONEY BADGER BLITZ,Hockey Field A
WFF Batavia Minor League 2024,2024-02-17,,1,1,,PINA COLADA,20,7,PINK LEMONADE,PINA COLADA,Hockey Field A
WFF Batavia Minor League 2024,2024-02-18,,1,,Final,PINA COLADA,19,25,BULLRED,BULLRED,Hockey Field A
WFF Batavia Minor League 2024,2024-02-18,,1,,Semifinal,BULLRED,14,12,LADY WHITE,BULLRED,Hockey Field A
WFF Batavia Minor League 2024,2024-02-18,,1,,Semifinal,HONEY BADGER BLITZ,26,27,PINA COLADA,PINA COLADA,Hockey Field A
WFF Minor League 2025 : DevZone,2025-02-01,,1,1,,APHRODITE,32,19,ATHENA,APHRODITE,GBK Hockey Field
WFF Minor League 2025 : DevZone,2025-02-01,,1,1,,APHRODITE,13,19,HERA,HERA,GBK Hockey Field
WFF Minor League 2025 : DevZone,2025-02-01,,1,1,,ARTEMIS,46,21,ATHENA,ARTEMIS,GBK Hockey Field
WFF Minor League 2025 : DevZone,2025-02-01,,1,1,,ARTEMIS,18,25,HERA,HERA,GBK Hockey Field
WFF Minor League 2025 : DevZone,2025-02-15,,2,1,Semifinal,HERA,27,19,ATHENA,HERA,GBK Hockey Field
WFF Minor League 2025 : DevZone,2025-02-15,,2,1,Semifinal,ARTEMIS,27,20,APHRODITE,ARTEMIS,GBK Hockey Field
WFF Minor League 2025 : DevZone,2025-02-22,,2,2,3rd Place,HERA,13,7,ARTEMIS,HERA,GBK Hockey Field
WFF Minor League 2025 : DevZone,2025-02-22,,2,2,Final,ATHENA,32,19,APHRODITE,ATHENA,GBK Hockey Field
WFF Minor League 2025 : DevZone,2025-02-08,,1,1,,APHRODITE,26,19,ARTEMIS,APHRODITE,GBK Hockey Field
WFF Minor League 2025 : DevZone,2025-02-08,,1,1,,ATHENA,6,26,HERA,HERA,GBK Hockey Field
WFF Jakarta League 2023 by GIRIK,2023-07-09,S1.PA.R1.4,1,1,,Gazelles,0,34,Orcas,Orcas,AIS Indonesia Jakarta
WFF Jakarta League 2023 by GIRIK,2023-07-09,S1.PA.R1.5,1,1,,Dracarys,62,0,Red Pandas,Dracarys,AIS Indonesia Jakarta
WFF Jakarta League 2023 by GIRIK,2023-07-09,S1.PA.R1.6,1,1,,Phoenix,24,29,Warwolves,Warwolves,AIS Indonesia Jakarta
WFF Jakarta League 2023 by GIRIK,2023-07-15,S1.PA.R1.13,1,1,,Gazelles,0,13,Phoenix,Phoenix,AIS Indonesia Jakarta
WFF Jakarta League 2023 by GIRIK,2023-07-15,S1.PA.R1.14,1,1,,Orcas,56,7,Red Pandas,Orcas,AIS Indonesia Jakarta
WFF Jakarta League 2023 by GIRIK,2023-07-15,S1.PA.R1.15,1,1,,Dracarys,32,13,Warwolves,Dracarys,AIS Indonesia Jakarta
WFF Jakarta League 2023 by GIRIK,2023-07-19,S1.PA.R1.10,1,1,,Dracarys,31,0,Phoenix,Dracarys,AIS Indonesia Jakarta
WFF Jakarta League 2023 by GIRIK,2023-07-19,S1.PA.R1.11,1,1,,Gazelles,6,6,Red Pandas,,AIS Indonesia Jakarta
WFF Jakarta League 2023 by GIRIK,2023-07-19,S1.PA.R1.12,1,1,,Orcas,8,41,Warwolves,Warwolves,AIS Indonesia Jakarta
WFF Jakarta League 2023 by GIRIK,2023-07-29,S1.PA.R1.1,1,1,,Dracarys,35,0,Gazelles,Dracarys,AIS Indonesia Jakarta
WFF Jakarta League 2023 by GIRIK,2023-07-29,S1.PA.R1.2,1,1,,Orcas,25,28,Phoenix,Phoenix,AIS Indonesia Jakarta
WFF Jakarta League 2023 by GIRIK,2023-07-29,S1.PA.R1.3,1,1,,Red Pandas,0,48,Warwolves,Warwolves,AIS Indonesia Jakarta
WFF Jakarta League 2023 by GIRIK,2023-08-05,S1.PA.R1.7,1,1,,Dracarys,33,0,Orcas,Dracarys,AIS Indonesia Jakarta
WFF Jakarta League 2023 by GIRIK,2023-08-05,S1.PA.R1.8,1,1,,Phoenix,32,0,Red Pandas,Phoenix,AIS Indonesia Jakarta
WFF Jakarta League 2023 by GIRIK,2023-08-05,S1.PA.R1.9,1,1,,Gazelles,0,35,Warwolves,Warwolves,AIS Indonesia Jakarta
WFF Jakarta League 2023 by GIRIK,2023-08-05,S2.R1.1,2,1,Semifinal,Dracarys,41,7,Orcas,Dracarys,AIS Indonesia Jakarta
WFF Jakarta League 2023 by GIRIK,2023-08-05,S2.R1.2,2,1,Semifinal,Phoenix,18,28,Warwolves,Warwolves,AIS Indonesia Jakarta
WFF Jakarta League 2023 by GIRIK,2023-08-05,S2.R2.1,2,2,Final,Dracarys,20,27,Warwolves,Warwolves,AIS Indonesia Jakarta